grid_size 8, slip_prob 0.0, gamma 0.95, num_rollouts 8: perf_res = PerfAssessmentResponse(perf=0.7031251690804939, time_steps_used=66, time_limit_trunced=False, failed=False)
grid_size 8, slip_prob 0.1, gamma 0.95, num_rollouts 80: perf_res = PerfAssessmentResponse(perf=0.5204648701683939, time_steps_used=679, time_limit_trunced=False, failed=False)
grid_size 8, slip_prob 0.2, gamma 0.95, num_rollouts 80: perf_res = PerfAssessmentResponse(perf=0.4447651206396622, time_steps_used=972, time_limit_trunced=False, failed=False)
grid_size 8, slip_prob 0.3, gamma 0.95, num_rollouts 80: perf_res = PerfAssessmentResponse(perf=0.355212861357697, time_steps_used=1058, time_limit_trunced=False, failed=False)
grid_size 8, slip_prob 0.4, gamma 0.95, num_rollouts 80: perf_res = PerfAssessmentResponse(perf=0.22734616241449146, time_steps_used=1950, time_limit_trunced=False, failed=False)
grid_size 12, slip_prob 0.0, gamma 0.95, num_rollouts 8: perf_res = PerfAssessmentResponse(perf=0.5383234929084006, time_steps_used=110, time_limit_trunced=False, failed=False)
grid_size 12, slip_prob 0.1, gamma 0.95, num_rollouts 80: perf_res = PerfAssessmentResponse(perf=0.41260347799136926, time_steps_used=1147, time_limit_trunced=False, failed=False)
grid_size 12, slip_prob 0.2, gamma 0.95, num_rollouts 80: perf_res = PerfAssessmentResponse(perf=0.33630258332159313, time_steps_used=1125, time_limit_trunced=False, failed=False)
grid_size 12, slip_prob 0.3, gamma 0.95, num_rollouts 80: perf_res = PerfAssessmentResponse(perf=0.22536102363487398, time_steps_used=1334, time_limit_trunced=False, failed=False)
grid_size 12, slip_prob 0.4, gamma 0.95, num_rollouts 80: perf_res = PerfAssessmentResponse(perf=0.17827368441960884, time_steps_used=1720, time_limit_trunced=False, failed=False)
grid_size 16, slip_prob 0.0, gamma 0.95, num_rollouts 8: perf_res = PerfAssessmentResponse(perf=0.40785560221388995, time_steps_used=162, time_limit_trunced=False, failed=False)
grid_size 16, slip_prob 0.1, gamma 0.95, num_rollouts 80: perf_res = PerfAssessmentResponse(perf=0.2945842805632054, time_steps_used=1512, time_limit_trunced=False, failed=False)
grid_size 16, slip_prob 0.2, gamma 0.95, num_rollouts 80: perf_res = PerfAssessmentResponse(perf=0.20542030149246915, time_steps_used=1402, time_limit_trunced=False, failed=False)
grid_size 16, slip_prob 0.3, gamma 0.95, num_rollouts 80: perf_res = PerfAssessmentResponse(perf=0.13089323731953498, time_steps_used=2024, time_limit_trunced=False, failed=False)
grid_size 16, slip_prob 0.4, gamma 0.95, num_rollouts 80: perf_res = PerfAssessmentResponse(perf=0.10032684842568036, time_steps_used=2579, time_limit_trunced=False, failed=False)
